# Observation period,TOA,Clear sky GHI,Clear sky BHI,Clear sky DHI,Clear sky BNI,GHI,BHI,DHI,BNI,Reliability
2005-01-01T00:00:00.0/2005-01-02T00:00:00.0,1762.3578,1024.7257,666.3198,358.406,3388.3601,421.258,38.0682,383.1898,199.7108,0.9677
2005-01-02T00:00:00.0/2005-01-03T00:00:00.0,1777.7778,1001.4248,447.2604,554.1644,2151.3342,374.8298,11.8924,362.9374,68.5033,0.9622
2005-01-03T00:00:00.0/2005-01-04T00:00:00.0,1794.5557,997.5633,505.0651,492.4982,2435.4246,546.4545,70.1221,476.3324,369.1283,0.9667
2005-01-04T00:00:00.0/2005-01-05T00:00:00.0,1812.6748,1036.076,586.4017,449.6743,2850.5034,244.0304,7.1569,236.8735,35.2148,0.966
2005-01-05T00:00:00.0/2005-01-06T00:00:00.0,1832.1116,1046.749,603.4022,443.3468,2939.0544,650.4088,23.8109,626.598,157.8951,0.9708
2005-01-06T00:00:00.0/2005-01-07T00:00:00.0,1852.8761,1107.3314,715.4712,391.8602,3472.6934,971.1628,436.0355,535.1273,2229.8694,0.9705
2005-01-07T00:00:00.0/2005-01-08T00:00:00.0,1875.0394,1030.1244,521.9041,508.2203,2488.9961,350.9887,28.3831,322.6056,223.3221,0.9694
2005-01-08T00:00:00.0/2005-01-09T00:00:00.0,1898.489,1102.4126,590.167,512.2455,2750.9451,803.8096,307.7108,496.0987,1391.0304,0.9691
2005-01-09T00:00:00.0/2005-01-10T00:00:00.0,1923.3263,1109.0031,649.1146,459.8885,3025.8167,852.2056,277.2938,574.9119,1467.1925,0.9681
2005-01-10T00:00:00.0/2005-01-11T00:00:00.0,1949.4818,1106.5292,659.3878,447.1414,3062.9089,1021.2536,536.3009,484.9527,2508.9954,0.9309
2005-01-11T00:00:00.0/2005-01-12T00:00:00.0,1976.9459,1094.942,561.3359,533.6061,2543.3826,NA,NA,NA,NA,0.6736
2005-01-12T00:00:00.0/2005-01-13T00:00:00.0,2005.8077,1195.8254,667.8985,527.9269,3021.0151,NA,NA,NA,NA,0.6715
2005-01-13T00:00:00.0/2005-01-14T00:00:00.0,2035.9918,1239.7043,750.5365,489.1678,3383.7661,1176.9192,695.5916,481.3276,2965.4238,0.8868
2005-01-14T00:00:00.0/2005-01-15T00:00:00.0,2067.4895,1263.8311,844.7593,419.0718,3863.1487,1172.7604,690.3663,482.3941,3173.8535,0.9694
2005-01-15T00:00:00.0/2005-01-16T00:00:00.0,2100.3389,1242.8834,795.2543,447.6291,3560.6511,1162.7224,679.2419,483.4806,3055.5977,0.9684
2005-01-16T00:00:00.0/2005-01-17T00:00:00.0,2134.4851,1220.1509,743.9165,476.2344,3269.144,1220.1509,743.9165,476.2344,3269.144,0.9681
2005-01-17T00:00:00.0/2005-01-18T00:00:00.0,2169.99,1236.7015,733.9022,502.7994,3183.98,253.9668,0.2378,253.729,1.3079,0.9719
2005-01-18T00:00:00.0/2005-01-19T00:00:00.0,2206.8091,1220.25,457.6324,762.6175,1923.3484,660.7766,51.6903,609.0863,314.2762,0.9604
2005-01-19T00:00:00.0/2005-01-20T00:00:00.0,2244.938,1290.345,584.3305,706.0145,2417.947,714.6976,155.2567,559.441,644.4553,0.9698
2005-01-20T00:00:00.0/2005-01-21T00:00:00.0,2284.3562,1276.4352,565.7878,710.6475,2310.2649,483.6747,21.9564,461.7183,120.4436,0.9691
2005-01-21T00:00:00.0/2005-01-22T00:00:00.0,2325.1013,1416.7153,799.1836,617.5318,3270.261,725.8923,141.1925,584.6998,622.363,0.9733
2005-01-22T00:00:00.0/2005-01-23T00:00:00.0,2367.1382,1470.7081,861.1205,609.5876,3492.9426,984.8162,263.4321,721.3841,1284.7228,0.9726
2005-01-23T00:00:00.0/2005-01-24T00:00:00.0,2410.4585,1537.8705,1033.0474,504.8231,4225.6304,1131.0544,497.0328,634.0217,2145.502,0.9712
2005-01-24T00:00:00.0/2005-01-25T00:00:00.0,2455.071,1634.8477,1228.8929,405.9546,5072.1802,1281.2823,753.3057,527.9767,3035.46,0.9701
2005-01-25T00:00:00.0/2005-01-26T00:00:00.0,2500.9602,1688.6235,1343.2866,345.3369,5590.9849,1410.1685,901.0006,509.1678,3308.1975,0.9691
2005-01-26T00:00:00.0/2005-01-27T00:00:00.0,2548.136,1707.8658,1340.6343,367.2315,5481.3984,1391.7389,622.556,769.1829,2541.9631,0.9729
2005-01-27T00:00:00.0/2005-01-28T00:00:00.0,2596.552,1627.569,1116.0289,511.5401,4336.1162,471.2297,1.1308,470.0989,4.7963,0.9719
