# Observation period,TOA,Clear sky GHI,Clear sky BHI,Clear sky DHI,Clear sky BNI,GHI,BHI,DHI,BNI,Reliability
2005-01-01T00:00:00.0/2005-01-02T00:00:00.0,4156.3457,2818.6509,2163.6116,655.0393,5929.1118,1733.1833,894.2777,838.9056,2734.5254,0.9809
2005-01-02T00:00:00.0/2005-01-03T00:00:00.0,4172.9019,2961.2158,2458.1636,503.0522,6870.8433000000005,2068.7036,1168.5284,900.1752,3064.6328,0.9757
2005-01-03T00:00:00.0/2005-01-04T00:00:00.0,4190.8735,2892.4194,2234.3362,658.0834,6149.7959,1163.6274,251.5399,912.0876,1056.072,0.9806
2005-01-04T00:00:00.0/2005-01-05T00:00:00.0,4210.2104,3094.6433,2664.3674,430.2759,7495.4111,3069.6775,2620.8499,448.8275,7345.8462,0.9802
2005-01-05T00:00:00.0/2005-01-06T00:00:00.0,4230.9097,3088.0403,2652.4939,435.5463,7435.6382,2529.094,1860.2795,668.8143,4870.6392,0.9799
2005-01-06T00:00:00.0/2005-01-07T00:00:00.0,4252.9277,3022.9375,2422.4155,600.5221,6659.479,2255.8604,1156.3699,1099.4906,3337.9043,0.9799
2005-01-07T00:00:00.0/2005-01-08T00:00:00.0,4276.3267,3066.9246,2522.9402,543.9845,6951.8438,2006.7611,1132.1035,874.6575,3059.3508,0.9795
2005-01-08T00:00:00.0/2005-01-09T00:00:00.0,4301.0571,3075.575,2626.8447,448.7302,7258.6646,3075.575,2626.8447,448.7302,7258.6646,0.9792
2005-01-09T00:00:00.0/2005-01-10T00:00:00.0,4327.1479,3105.9204,2619.8206,486.0997,7197.8887,3095.2771,2601.6179,493.6593,7151.6978,0.9785
2005-01-10T00:00:00.0/2005-01-11T00:00:00.0,4354.5161,3151.7117,2695.7693,455.9423,7395.0488,3151.7117,2695.7693,455.9423,7395.0488,0.926
2005-01-11T00:00:00.0/2005-01-12T00:00:00.0,4383.1797,3096.6667,2512.051,584.6159,6739.3179,NA,NA,NA,NA,0.6014
2005-01-12T00:00:00.0/2005-01-13T00:00:00.0,4413.1245,3066.3489,2378.7668,687.582,6279.6699,NA,NA,NA,NA,0.6014
2005-01-13T00:00:00.0/2005-01-14T00:00:00.0,4444.3345,3108.5044,2455.3232,653.181,6473.4775,530.1832,132.7227,397.4605,380.7434,0.8625
