# Observation period,TOA,Clear sky GHI,Clear sky BHI,Clear sky DHI,Clear sky BNI,GHI,BHI,DHI,BNI,Reliability
2005-01-01T00:00:00.0/2005-01-02T00:00:00.0,2970.1963,1956.6401,1405.2969,551.3432,4897.0376,1913.0659,1338.0184,575.0474,4707.5972,0.976
2005-01-02T00:00:00.0/2005-01-03T00:00:00.0,2986.7478,1902.9288,1269.6847,633.2441,4359.7715,1857.0106,1203.0997,653.911,4173.498,0.9705
2005-01-03T00:00:00.0/2005-01-04T00:00:00.0,3004.698,2077.238,1605.2482,471.9898,5660.7383,2055.5486,1569.0406,486.508,5559.6084,0.9753
2005-01-04T00:00:00.0/2005-01-05T00:00:00.0,3024.0415,2030.9172,1510.2223,520.695,5244.6841,2028.3738,1509.0687,519.305,5241.3286,0.975
2005-01-05T00:00:00.0/2005-01-06T00:00:00.0,3044.7764,1947.1803,1280.4417,666.7386,4355.0576,1754.2009,921.1708,833.0302,3064.0845,0.9747
2005-01-06T00:00:00.0/2005-01-07T00:00:00.0,3066.8948,1925.2645,1241.0618,684.2027,4147.958,1907.5745,1224.9633,682.6112,4025.5015,0.9743
2005-01-07T00:00:00.0/2005-01-08T00:00:00.0,3090.4304,1807.1649,959.5267,847.6382,3152.0486,837.4189,21.9767,815.4423,79.1165,0.9736
2005-01-08T00:00:00.0/2005-01-09T00:00:00.0,3115.3079,1810.8121,925.2229,885.5892,3000.937,1162.6542,185.4668,977.1874,605.0792,0.9736
2005-01-09T00:00:00.0/2005-01-10T00:00:00.0,3141.5457,1815.0861,919.4619,895.6243,2968.6685,664.5684,18.4431,646.1254,102.2107,0.9729
2005-01-10T00:00:00.0/2005-01-11T00:00:00.0,3169.2012,1857.1494,982.4745,874.6749,3145.2661,609.289,6.5543,602.7347,20.9472,0.925
2005-01-11T00:00:00.0/2005-01-12T00:00:00.0,3198.1626,1951.9014,1132.3031,819.5982,3660.853,NA,NA,NA,NA,0.6306
2005-01-12T00:00:00.0/2005-01-13T00:00:00.0,3228.4534,1960.6892,1129.3013,831.3879,3635.6167,NA,NA,NA,NA,0.6299
2005-01-13T00:00:00.0/2005-01-14T00:00:00.0,3260.1123,1859.4833,926.0239,933.4593,2909.6226,1842.231,909.4117,932.8193,2806.6196,0.8715
2005-01-14T00:00:00.0/2005-01-15T00:00:00.0,3293.051,1919.2745,1020.4461,898.8284,3208.0269,1068.5089,91.6988,976.8102,251.2445,0.9806
2005-01-15T00:00:00.0/2005-01-16T00:00:00.0,3327.3777,1934.9761,1030.5483,904.4277,3198.6541,625.5701,6.024,619.5461,58.1867,0.9795
2005-01-16T00:00:00.0/2005-01-17T00:00:00.0,3362.9307,2198.8215,1493.811,705.0105,4739.2466,589.5513,0.3315,589.2197,0.8774,0.9792
2005-01-17T00:00:00.0/2005-01-18T00:00:00.0,3399.812,2214.7932,1503.8032,710.9899,4727.3267,1379.6707,457.8439,921.8267,1365.4905,0.9788
2005-01-18T00:00:00.0/2005-01-19T00:00:00.0,3437.9944,1953.4001,939.8376,1013.5625,2834.3711,233.5628,0.0333,233.5295,0.1426,0.967
2005-01-19T00:00:00.0/2005-01-20T00:00:00.0,3477.4084,2335.5979,1682.9575,652.6404,5265.0156,2142.7141,1367.02,775.6941,3930.2864,0.9767
2005-01-20T00:00:00.0/2005-01-21T00:00:00.0,3518.0447,2334.5994,1685.0573,649.5421,5238.7759,2233.5403,1530.6411,702.8993,4784.7212,0.9764
2005-01-21T00:00:00.0/2005-01-22T00:00:00.0,3559.9812,2435.8406,1912.6056,523.2349,5979.9258,2435.8406,1912.6056,523.2349,5979.9258,0.9753
2005-01-22T00:00:00.0/2005-01-23T00:00:00.0,3603.1089,2500.05,1950.4924,549.5577,6104.5479,1862.3688,1012.9435,849.4253,3756.0596,0.9747
2005-01-23T00:00:00.0/2005-01-24T00:00:00.0,3647.4341,2469.78,1871.5551,598.2251,5731.4712,655.855,116.8883,538.9667,389.1881,0.974
2005-01-24T00:00:00.0/2005-01-25T00:00:00.0,3692.9963,2517.8726,1856.7477,661.1249,5588.9194,2332.6946,1499.6398,833.0549,4303.6226,0.9729
2005-01-25T00:00:00.0/2005-01-26T00:00:00.0,3739.698,2665.8801,2116.2046,549.6757,6469.1333,2275.1206,1348.23,926.8907,4330.9336,0.9722
2005-01-26T00:00:00.0/2005-01-27T00:00:00.0,3787.595,2665.4656,2111.7852,553.6802,6386.4458,1992.8632,686.5914,1306.2717,2481.8364,0.9764
2005-01-27T00:00:00.0/2005-01-28T00:00:00.0,3836.6116,2604.6975,1912.4409,692.2567,5640.1196,2246.1375,1150.0547,1096.0828,3368.4895,0.9809
2005-01-28T00:00:00.0/2005-01-29T00:00:00.0,3886.7808,2492.5132,1598.1547,894.3585,4584.605,2324.3423,1294.7706,1029.5717,3517.1331,0.9799
2005-01-29T00:00:00.0/2005-01-30T00:00:00.0,3938.0449,2660.2253,1900.2112,760.0141,5480.2261,2431.2559,1489.3442,941.9117,4371.4219,0.9792
2005-01-30T00:00:00.0/2005-01-31T00:00:00.0,3990.3911,2792.9226,2079.9712,712.9513,6003.6025,2786.8669,2071.0037,715.8635,5971.0552,0.9785
2005-01-31T00:00:00.0/2005-02-01T00:00:00.0,4043.8552,2684.9087,1833.7417,851.1671,5139.127,2622.3086,1741.1996,881.1091,4905.7363,0.9774
2005-02-01T00:00:00.0/2005-02-02T00:00:00.0,4098.3359,2923.8757,2327.6841,596.1916,6631.9648,2923.8757,2327.6841,596.1916,6631.9648,0.9715
2005-02-02T00:00:00.0/2005-02-03T00:00:00.0,4153.8862,2955.3506,2358.0908,597.2598,6668.4854,2955.3506,2358.0908,597.2598,6668.4854,0.976
2005-02-03T00:00:00.0/2005-02-04T00:00:00.0,4210.4551,3056.1733,2502.9509,553.2223,7102.0825,3048.3601,2489.8992,558.4608,7057.2085,0.9747
2005-02-04T00:00:00.0/2005-02-05T00:00:00.0,4268.0234,2927.0779000000002,2145.6648,781.4131,5843.2261,2699.5989,1756.8665,942.7324,4760.8989,0.9736
2005-02-05T00:00:00.0/2005-02-06T00:00:00.0,4326.5342,2976.3931,2173.7573,802.6357,5874.5894,1087.3798,55.5109,1031.8689,188.0045,0.9781
2005-02-06T00:00:00.0/2005-02-07T00:00:00.0,4386.0137,3032.2759,2211.7358,820.5399,5932.7354,2996.9622,2160.3013,836.6608,5732.1201,0.9823
2005-02-07T00:00:00.0/2005-02-08T00:00:00.0,4446.439,3031.0833,2142.1309,888.9526,5645.7993,1448.6008,281.8254,1166.7754,936.9265,0.9812
2005-02-08T00:00:00.0/2005-02-09T00:00:00.0,4507.7227,3032.3174,2110.1331,922.1846,5503.9424,1291.9163,88.2619,1203.6544,456.2068,0.9806
2005-02-09T00:00:00.0/2005-02-10T00:00:00.0,4569.9253,3104.8782,2182.937,921.9411,5650.6914,3104.8782,2182.937,921.9411,5650.6914,0.9795
2005-02-10T00:00:00.0/2005-02-11T00:00:00.0,4632.9834,3126.3049,2188.76,937.545,5608.9526,3068.3835,2099.4036,968.9798,5372.707,0.9788
2005-02-11T00:00:00.0/2005-02-12T00:00:00.0,4696.8726,3019.6387,1901.1687,1118.47,4733.688,2753.0818,1464.6202,1288.4614,3413.1155,0.9774
2005-02-12T00:00:00.0/2005-02-13T00:00:00.0,4761.5625,2981.1675,1748.196,1232.9714,4270.1582,2710.8347,1287.3706,1423.4641,3012.2939,0.9764
2005-02-13T00:00:00.0/2005-02-14T00:00:00.0,4827.0342,3504.5183,2828.2097,676.3085,7172.0024,3504.5183,2828.2097,676.3085,7172.0024,0.9753
2005-02-14T00:00:00.0/2005-02-15T00:00:00.0,4893.2588,3589.5195,2886.9612,702.5583,7393.585,3589.5195,2886.9612,702.5583,7393.585,0.9743
2005-02-15T00:00:00.0/2005-02-16T00:00:00.0,4960.2061,3668.1526,3008.2544,659.8981,7616.6694,3668.1526,3008.2544,659.8981,7616.6694,0.9785
2005-02-16T00:00:00.0/2005-02-17T00:00:00.0,5027.8647,3659.8455,2969.9634,689.882,7435.9146,2383.9319,506.3368,1877.5951,1814.0118,0.9826
2005-02-17T00:00:00.0/2005-02-18T00:00:00.0,5096.1479,3637.0247,2781.0278,855.9968,6811.2998,3157.417,1730.1121,1427.3049,4561.6255,0.9819
2005-02-18T00:00:00.0/2005-02-19T00:00:00.0,5165.1709,3641.8828,2728.1121,913.7709,6597.4541,3626.0691,2701.373,924.696,6439.8848,0.9806
2005-02-19T00:00:00.0/2005-02-20T00:00:00.0,5234.7622,3357.3342,1992.9871,1364.347,4631.9946,904.9653,1.0057,903.9597,2.4036,0.9795
2005-02-20T00:00:00.0/2005-02-21T00:00:00.0,5304.9688,3290.6345,1750.1206,1540.5139,3942.3308,611.4636,1.0379,610.4257,7.5188,0.9785
2005-02-21T00:00:00.0/2005-02-22T00:00:00.0,5375.7417,3865.1484,3055.3508,809.7974,7255.3071,865.8896,195.9117,669.9779,557.6547,0.9774
2005-02-22T00:00:00.0/2005-02-23T00:00:00.0,5447.0479,3735.24,2648.459,1086.7811,6086.4531,1152.3,159.6546,992.6454,500.4634,0.9764
2005-02-23T00:00:00.0/2005-02-24T00:00:00.0,5518.9014,3873.6726,2869.5806,1004.092,6608.2358,2223.4878,903.6383,1319.8496,2516.1135,0.9753
2005-02-24T00:00:00.0/2005-02-25T00:00:00.0,5591.2329,3801.3926,2615.1479,1186.2448,5903.4824,1765.7972,579.5919,1186.2053,1309.2192,0.9691
2005-02-25T00:00:00.0/2005-02-26T00:00:00.0,5664.0688,3964.9556,2914.4805,1050.475,6540.5586,2075.8918,412.6269,1663.265,1154.0559,0.9833
2005-02-26T00:00:00.0/2005-02-27T00:00:00.0,5737.2944,4067.5063,3028.3845,1039.1218,6778.5791,3411.7725,1848.8253,1562.9471,4097.6724,0.9778
2005-02-27T00:00:00.0/2005-02-28T00:00:00.0,5810.9595,3960.958,2677.2642,1283.6938,5917.6035,3417.533,1907.2885,1510.2444,4490.4272,0.9712
2005-02-28T00:00:00.0/2005-03-01T00:00:00.0,5885.0645,4324.3223,3407.0908,917.2315,7518.0552,3811.9351,2493.2358,1318.6993,5839.8818,0.975
2005-03-01T00:00:00.0/2005-03-02T00:00:00.0,5959.458,4447.354,3516.9456,930.4084,7790.666,4358.5308000000005,3369.2097,989.3209,7356.3003,0.9743
2005-03-02T00:00:00.0/2005-03-03T00:00:00.0,6034.2705,4431.6958,3430.6587,1001.0373,7487.3193,4431.6958,3430.6587,1001.0373,7487.3193,0.9729
2005-03-03T00:00:00.0/2005-03-04T00:00:00.0,6109.3682,3981.2273,2385.3218,1595.9054,5056.2734,542.0798,8.3029,533.7769,80.6421,0.9771
2005-03-04T00:00:00.0/2005-03-05T00:00:00.0,6184.7422,4488.6104,3548.4253,940.1848,7620.9688,4488.6104,3548.4253,940.1848,7620.9688,0.976
2005-03-05T00:00:00.0/2005-03-06T00:00:00.0,6260.4229,4317.0864,3049.2839,1267.8027,6370.0347,2433.1943,640.3674,1792.8269,1690.8011,0.9799
2005-03-06T00:00:00.0/2005-03-07T00:00:00.0,6336.272,4620.8296,3642.4854,978.3442,7710.728,4333.6528,3078.4507,1255.2021,6814.4302,0.9795
2005-03-07T00:00:00.0/2005-03-08T00:00:00.0,6412.3569,4666.0718,3610.6021,1055.4695,7515.9116,4359.2544,3109.3523,1249.9023,6303.502,0.9833
2005-03-08T00:00:00.0/2005-03-09T00:00:00.0,6488.6611,4873.8242,4095.7778,778.0463,8678.9219,4870.0928,4089.9141,780.1787,8647.5527,0.9819
2005-03-09T00:00:00.0/2005-03-10T00:00:00.0,6565.0835,4955.0234,4187.8145,767.2089,8847.2822,4768.1138,3770.2385,997.8749,7875.9688,0.9809
2005-03-10T00:00:00.0/2005-03-11T00:00:00.0,6641.623,5133.8262,4450.5068,683.3196,9384.4004,5133.8262,4450.5068,683.3196,9384.4004,0.9799
2005-03-11T00:00:00.0/2005-03-12T00:00:00.0,6718.2661,4876.1616,3815.8647,1060.297,7775.3242,4809.8936,3653.5547,1156.3391,7495.6289,0.9788
2005-03-12T00:00:00.0/2005-03-13T00:00:00.0,6794.9922,4584.8604,2956.5078,1628.3528,5844.6821,4580.3057,2953.1155,1627.1901,5832.6577,0.9778
2005-03-13T00:00:00.0/2005-03-14T00:00:00.0,6871.7549,4961.5874,3722.595,1238.9923,7359.3818,4961.5874,3722.595,1238.9923,7359.3818,0.9767
2005-03-14T00:00:00.0/2005-03-15T00:00:00.0,6948.5723,4775.7134,3227.1707,1548.5426,6219.2881,3837.5032,1806.4303,2031.073,3123.8682,0.9653
2005-03-15T00:00:00.0/2005-03-16T00:00:00.0,7025.3516,4933.1704,3559.4375,1373.733,6867.3481,4770.6567,3320.4436,1450.2134,6280.0859,0.9378
2005-03-16T00:00:00.0/2005-03-17T00:00:00.0,7102.0894,4798.7222,3126.7844,1671.9377,5933.2803,4704.7495,3008.2041,1696.5452,5618.9653,0.9785
2005-03-17T00:00:00.0/2005-03-18T00:00:00.0,7178.8003,5025.7949,3554.4075,1471.3875,6810.1069,4999.2798,3525.9673,1473.3125,6704.2749,0.9823
2005-03-18T00:00:00.0/2005-03-19T00:00:00.0,7255.4033,5247.4941,4031.0249,1216.4691,7771.1567,5242.085,4024.5813,1217.5034,7736.5361,0.9552
2005-03-19T00:00:00.0/2005-03-20T00:00:00.0,7331.8647,5327.7705,4232.0107,1095.7596,8129.0259,5327.7705,4232.0107,1095.7596,8129.0259,0.9806
2005-03-20T00:00:00.0/2005-03-21T00:00:00.0,7408.2246,5015.7583,3354.2288,1661.5295,6192.8008,3619.2354,1847.9493,1771.286,3240.5278,0.9795
2005-03-21T00:00:00.0/2005-03-22T00:00:00.0,7484.4736,4735.9492,2647.5676,2088.3816,4728.1143,1775.7781,114.4525,1661.3256,338.599,0.9729
2005-03-22T00:00:00.0/2005-03-23T00:00:00.0,7560.5103,4710.6011,2493.6526,2216.9487,4383.7427,2416.762,468.7921,1947.9697,680.2087,0.9667
2005-03-23T00:00:00.0/2005-03-24T00:00:00.0,7636.3428,4273.6792,1671.0369,2602.6423,2879.5872,2974.8098,740.7643,2234.0457,1229.5416,0.9764
2005-03-24T00:00:00.0/2005-03-25T00:00:00.0,7711.9868,4679.5332,2293.2896,2386.2437,3972.7285,1854.9608,126.4353,1728.5255,187.08,0.9799
2005-03-25T00:00:00.0/2005-03-26T00:00:00.0,7787.3652,5102.394,2990.5681,2111.8262,5263.0396,3150.946,735.3911,2415.5549,1382.7148,0.984
