# Observation period,TOA,Clear sky GHI,Clear sky BHI,Clear sky DHI,Clear sky BNI,GHI,BHI,DHI,BNI,Reliability
2005-01-01T00:00:00.0/2005-01-02T00:00:00.0,3138.6267,2127.5884,1686.6019,440.9864,5769.5767,2061.7656,1586.7085,475.057,5234.4253,0.9736
2005-01-02T00:00:00.0/2005-01-03T00:00:00.0,3155.2288,2155.7195,1720.4894,435.23,5856.7686,1947.1448,1462.4078,484.737,4603.7124,0.9681
2005-01-03T00:00:00.0/2005-01-04T00:00:00.0,3173.23,2151.1367,1656.2695,494.8672,5563.001,2110.3364,1633.5701,476.7664,5335.7251,0.9781
2005-01-04T00:00:00.0/2005-01-05T00:00:00.0,3192.6243,2213.3242,1798.6636,414.6608,6124.3052,2147.9883,1664.7544,483.2337,5584.2329,0.9778
2005-01-05T00:00:00.0/2005-01-06T00:00:00.0,3213.4102,2260.2041,1873.5739,386.6302,6353.6592,2255.9126,1863.5562,392.3564,6265.5098,0.9778
2005-01-06T00:00:00.0/2005-01-07T00:00:00.0,3235.6113,2115.824,1539.3256,576.4985,5045.5444,2039.2308,1388.8119,650.4189,4662.3394,0.9767
2005-01-07T00:00:00.0/2005-01-08T00:00:00.0,3259.167,2032.327,1319.4611,712.866,4217.0874,1839.4801,1051.0134,788.4667,3249.3923,0.9764
2005-01-08T00:00:00.0/2005-01-09T00:00:00.0,3284.0916,2276.3521,1816.4784,459.8735,6015.749,1589.1542,714.0502,875.1039,1974.4923,0.976
2005-01-09T00:00:00.0/2005-01-10T00:00:00.0,3310.3757,2184.9216,1611.2391,573.6825,5217.2002,793.8543,23.4048,770.4495,189.9914,0.9757
2005-01-10T00:00:00.0/2005-01-11T00:00:00.0,3338.0396,2003.8304,1184.6849,819.1456,3692.8765,595.2968,32.312,562.9848,123.4881,0.9333
2005-01-11T00:00:00.0/2005-01-12T00:00:00.0,3367.0679,2194.0254,1551.2015,642.8239,4925.7251,NA,NA,NA,NA,0.6257
2005-01-12T00:00:00.0/2005-01-13T00:00:00.0,3397.3958,2095.9114,1315.5267,780.3845,4081.1455,NA,NA,NA,NA,0.625
2005-01-13T00:00:00.0/2005-01-14T00:00:00.0,3429.0793,2125.0962,1338.0886,787.0075,4138.981,1853.9723,1061.0806,792.8917,3083.5156,0.8691
2005-01-14T00:00:00.0/2005-01-15T00:00:00.0,3462.0479,2190.8938,1456.8499,734.044,4499.8662,1006.3467,67.2738,939.0729,168.5877,0.9781
2005-01-15T00:00:00.0/2005-01-16T00:00:00.0,3496.343,2385.4792,1824.8099,560.6692,5740.4932,684.8734,2.0636,682.8098,5.6815,0.9778
2005-01-16T00:00:00.0/2005-01-17T00:00:00.0,3531.9431,2469.4768,1977.5751,491.9019,6252.2529,1277.7548,295.668,982.0867,1192.4572,0.9767
2005-01-17T00:00:00.0/2005-01-18T00:00:00.0,3568.8206,2535.5698,2048.2844,487.2854,6439.0913,2361.8135,1766.0654,595.7482,5421.001,0.976
2005-01-18T00:00:00.0/2005-01-19T00:00:00.0,3606.9214,2426.9756,1813.2207,613.7549,5532.3105,1247.7283,254.0749,993.6534,699.4099,0.9653
