# Observation period,TOA,Clear sky GHI,Clear sky BHI,Clear sky DHI,Clear sky BNI,GHI,BHI,DHI,BNI,Reliability
2005-01-01T00:00:00.0/2005-01-02T00:00:00.0,3506.6721,2414.46,1892.6959,521.764,5932.0396,2333.3633,1724.429,608.9343,5314.876,0.9788
2005-01-02T00:00:00.0/2005-01-03T00:00:00.0,3523.3418,2412.5793,1851.3164,561.263,5776.0015,2182.8823,1379.8929,802.9894,4493.7354,0.9733
2005-01-03T00:00:00.0/2005-01-04T00:00:00.0,3541.4072,2453.4836,1940.718,512.7657,6099.2832,2453.4836,1940.718,512.7657,6099.2832,0.9781
2005-01-04T00:00:00.0/2005-01-05T00:00:00.0,3560.8623,2570.5815,2159.9243,410.6572,6856.5981,2565.4854,2147.7144,417.7711,6702.231,0.9778
2005-01-05T00:00:00.0/2005-01-06T00:00:00.0,3581.7043,2617.5508,2228.1523,389.3986,7066.6348,2576.0376,2157.051,418.9864,6493.3037,0.9774
2005-01-06T00:00:00.0/2005-01-07T00:00:00.0,3603.9246,2485.9773,1913.8647,572.1127,5894.8032,2303.8835,1656.5647,647.3187,4730.3135,0.9771
2005-01-07T00:00:00.0/2005-01-08T00:00:00.0,3627.5527,2542.9492,2027.5787,515.3704,6251.2275,2542.9492,2027.5787,515.3704,6251.2275,0.9764
2005-01-08T00:00:00.0/2005-01-09T00:00:00.0,3652.5142,2604.0354,2137.6238,466.4115,6595.4214,2588.8635,2109.9993,478.8641,6525.2842,0.9764
2005-01-09T00:00:00.0/2005-01-10T00:00:00.0,3678.8276,2604.3572,2094.5872,509.7701,6415.4448,1562.1842,992.3022,569.882,2898.4744,0.9757
2005-01-10T00:00:00.0/2005-01-11T00:00:00.0,3706.4817,2602.4617,2045.411,557.0506,6184.6548,2406.8765,1718.6862,688.1904,4964.9116,0.9285
2005-01-11T00:00:00.0/2005-01-12T00:00:00.0,3735.4968,2573.8792,1962.7058,611.1734,5863.5552,NA,NA,NA,NA,0.616
2005-01-12T00:00:00.0/2005-01-13T00:00:00.0,3765.8145,2571.0798,1918.2777,652.8022,5669.2432,NA,NA,NA,NA,0.6153
2005-01-13T00:00:00.0/2005-01-14T00:00:00.0,3797.4338,2554.3533,1886.5497,667.8036,5512.2417,2507.7703,1795.8109,711.9595,5094.5854,0.8698
2005-01-14T00:00:00.0/2005-01-15T00:00:00.0,3830.3787,2607.364,1950.4094,656.9546,5686.5029,2607.364,1950.4094,656.9546,5686.5029,0.9785
2005-01-15T00:00:00.0/2005-01-16T00:00:00.0,3864.5825,2700.5894,2077.322,623.2673,6039.4321,2503.2441,1704.8724,798.3716,4779.373,0.9781
2005-01-16T00:00:00.0/2005-01-17T00:00:00.0,3900.1123,2827.2244,2314.7576,512.4667,6827.0098,2827.2244,2314.7576,512.4667,6827.0098,0.9771
2005-01-17T00:00:00.0/2005-01-18T00:00:00.0,3936.8535,2895.5752,2372.2175,523.3576,6940.9019,2895.5752,2372.2175,523.3576,6940.9019,0.9767
2005-01-18T00:00:00.0/2005-01-19T00:00:00.0,3974.8547,2762.0181,2145.4397,616.5785,6108.2744,2328.9082,1633.083,695.8252,4581.3647,0.9712
2005-01-19T00:00:00.0/2005-01-20T00:00:00.0,4014.0564,2715.8447,2084.5312,631.3135,5870.0571,1263.3447,127.1037,1136.2411,400.2355,0.9809
2005-01-20T00:00:00.0/2005-01-21T00:00:00.0,4054.4949,2892.1809,2401.791,490.39,6906.2832,2834.9556,2261.4141,573.5416,6523.5825,0.9802
2005-01-21T00:00:00.0/2005-01-22T00:00:00.0,4096.1274,2836.8311,2227.2861,609.5449,6303.6895,1954.1074,857.9321,1096.1753,2292.0972,0.9795
2005-01-22T00:00:00.0/2005-01-23T00:00:00.0,4138.9556,2876.2622,2259.1541,617.108,6296.478,2847.4963,2208.5247,638.9717,6090.5718,0.9788
2005-01-23T00:00:00.0/2005-01-24T00:00:00.0,4182.9355,2919.1279,2327.0527,592.0751,6455.0859,1775.3497,1098.0619,677.2879,3196.9631,0.9781
2005-01-24T00:00:00.0/2005-01-25T00:00:00.0,4228.0518,2959.6548,2400.2476,559.4073,6651.4663,2206.2725,1402.2446,804.0279,3309.9329,0.9774
2005-01-25T00:00:00.0/2005-01-26T00:00:00.0,4274.3018,3007.5173,2352.4321,655.0852,6384.9326,1341.9495,130.0106,1211.9388,460.7023,0.9663
2005-01-26T00:00:00.0/2005-01-27T00:00:00.0,4321.6714,2997.8447,2293.9407,703.9041,6192.4702,2830.9954,1918.4244,912.571,5348.8525,0.976
2005-01-27T00:00:00.0/2005-01-28T00:00:00.0,4370.125,2936.4771,2120.8408,815.6361,5615.9111,1094.3228,103.1152,991.2076,328.5231,0.9806
