date,place,lat,lon,alt,TOA,GHI,BHI,DHI,BNI,clearsky_GHI,clearsky_BHI,clearsky_DHI,clearsky_BNI,reliability
2005-01-01,Catania,37.5079,15.083,48,4260.5708,2600.085,1709.0986,890.9863,4399.2886,2897.895,2153.2856,744.6095,5778.1416,0.9799
2005-01-02,Catania,37.5079,15.083,48,4277.125,2532.9651,1582.3033,950.6617,4337.7939,2988.4048,2309.5818,678.8231,6219.7788,0.9743
2005-01-03,Catania,37.5079,15.083,48,4295.0483,2345.2234,1359.2219,986.0014,3738.6177,2986.0947,2255.7808,730.3139,6083.1299,0.9844
2005-01-04,Catania,37.5079,15.083,48,4314.3325,3209.6948,2746.8391,462.8557,7573.9165,3209.6948,2746.8391,462.8557,7573.9165,0.984
2005-01-05,Catania,37.5079,15.083,48,4334.9473,3176.6008,2710.7393,465.8616,7460.2358,3176.6008,2710.7393,465.8616,7460.2358,0.984
2005-01-06,Catania,37.5079,15.083,48,4356.9438,3117.1589,2467.3379,649.8209,6734.2964,3168.8022,2598.2241,570.5779,7033.4268,0.984
2005-01-07,Catania,37.5079,15.083,48,4380.2773,3170.4028,2581.5999,588.8029,6955.7549,3170.4028,2581.5999,588.8029,6955.7549,0.9833
2005-01-08,Catania,37.5079,15.083,48,4404.937,3174.6343,2670.7659,503.8684,7207.271,3174.6343,2670.7659,503.8684,7207.271,0.983
2005-01-09,Catania,37.5079,15.083,48,4430.9116,3196.6462,2663.0967,533.5495,7124.3691,3196.6462,2663.0967,533.5495,7124.3691,0.9826
2005-01-10,Catania,37.5079,15.083,48,4458.1875,3247.4915,2719.3535,528.138,7252.5513,3247.4915,2719.3535,528.138,7252.5513,0.9302
2005-01-11,Catania,37.5079,15.083,48,4486.7515,3181.26674,2620.43078,560.83594,7054.84854,3146.3145,2381.8757,764.4387,6179.8125,0
2005-01-12,Catania,37.5079,15.083,48,4516.6362,3194.088308,2651.049356,543.038948,7118.958968,3126.4678,2291.9524,834.5154,5849.3999,0
2005-01-13,Catania,37.5079,15.083,48,4547.7476,594.8871,8e-4,594.8863,0.0018,3196.2017,2455.5312,740.6703,6300.6343,0.8611
2005-01-14,Catania,37.5079,15.083,48,4580.1016,2478.4912,1690.8771,787.6142,4042.8335,3140.896,2315.4622,825.4339,5874.5669,0.9806
2005-01-15,Catania,37.5079,15.083,48,4613.7163,1855.4388,358.1756,1497.2632,1139.0233,3286.4568,2587.1326,699.3243,6640.7056,0.9799
2005-01-16,Catania,37.5079,15.083,48,4648.5264,2983.1086,2044.05,939.0587,5511.5381,3380.8088,2754.0071,626.8018,7109.7954,0.9795
2005-01-17,Catania,37.5079,15.083,48,4684.5249,3402.6743,2754.4653,648.209,7053.9956,3402.6743,2754.4653,648.209,7053.9956,0.9795
2005-01-18,Catania,37.5079,15.083,48,4721.7388,3487.604,2862.0024,625.6016,7293.9014,3487.604,2862.0024,625.6016,7293.9014,0.9681
2005-01-19,Catania,37.5079,15.083,48,4760.0864,1680.0607,312.6969,1367.3638,985.3326,3266.2822,2174.304,1091.9781,5162.8364,0.9781
