date,place,lat,lon,alt,TOA,GHI,BHI,DHI,BNI,clearsky_GHI,clearsky_BHI,clearsky_DHI,clearsky_BNI,reliability
2005-01-01,Ferrara,44.837,11.619,15,3006.5549,2031.8915,1584.9299,446.9616,5590.6772,2049.906,1611.5377,438.3683,5676.8848,0.9753
2005-01-02,Ferrara,44.837,11.619,15,3023.1135,1882.4445,1232.6216,649.8229,4059.4299,1911.53,1263.1373,648.3928,4302.8115,0.9698
2005-01-03,Ferrara,44.837,11.619,15,3041.0725,1819.949,1084.5901,735.3589,3659.6602,1869.7285,1148.3235,721.4051,3881.0117,0.9799
2005-01-04,Ferrara,44.837,11.619,15,3060.4263,1803.3339,998.5165,804.8173,3663.5527,2023.3197,1477.7976,545.5221,5064.377,0.9799
2005-01-05,Ferrara,44.837,11.619,15,3081.1729,1783.9561,970.0339,813.9222,3345.5474,1937.8929,1250.4316,687.4612,4184.6646,0.9792
2005-01-06,Ferrara,44.837,11.619,15,3103.3042,1349.3162,509.37,839.9462,1552.8075,1858.2303,1073.9271,784.3032,3507.7083,0.9788
2005-01-07,Ferrara,44.837,11.619,15,3126.8127,854.6625,28.8047,825.8579,83.8311,1786.2916,918.3516,867.94,2958.7336,0.9785
2005-01-08,Ferrara,44.837,11.619,15,3151.6902,644.0748,3.373,640.7018,9.2962,1899.8945,1106.5597,793.3348,3585.5264,0.9781
2005-01-09,Ferrara,44.837,11.619,15,3177.9695,1066.2317,112.8196,953.4121,324.972,1876.1403,1037.1078,839.0325,3342.7585,0.9774
2005-01-10,Ferrara,44.837,11.619,15,3205.6104,1765.6411,873.2233,892.4178,2764.6011,1838.5973,954.7147,883.8826,3022.3188,0.9299
2005-01-11,Ferrara,44.837,11.619,15,3234.5667,1135.98526,305.51812,830.46716,947.1015799999999,1936.275,1094.0382,842.2368,3485.5039,0
2005-01-12,Ferrara,44.837,11.619,15,3264.9014,1093.319072,264.747744,828.571352,825.960396,1955.6516,1123.9812,831.6704,3571.9717,0
2005-01-13,Ferrara,44.837,11.619,15,3296.5276,1200.2847,236.3127,963.9719,755.7303,2008.6782,1182.3141,826.3641,3759.5437,0.8712
2005-01-14,Ferrara,44.837,11.619,15,3329.5044,560.6411,1.0416,559.5995,2.8949,2064.5217,1283.9565,780.5651,4057.459,0.975
2005-01-15,Ferrara,44.837,11.619,15,3363.7964,473.4525,26.2417,447.2108,231.889,2211.5784,1545.6353,665.943,4947.6719,0.974
2005-01-16,Ferrara,44.837,11.619,15,3399.3906,850.487,90.1539,760.3331,488.8676,2248.1587,1606.2732,641.8856,5109.2988,0.9733
2005-01-17,Ferrara,44.837,11.619,15,3436.2566,1284.0245,292.3518,991.6727,1080.6539,2321.0303,1707.2482,613.7821,5408.7637,0.9726
2005-01-18,Ferrara,44.837,11.619,15,3474.4089,667.466,36.6571,630.8089,149.5227,2074.9148,1170.8345,904.0803,3565.9644,0.9667
2005-01-19,Ferrara,44.837,11.619,15,3513.8245,1933.1697,1216.0873,717.0824,3622.105,2272.6099,1551.4634,721.1464,4761.1807,0.9764
2005-01-20,Ferrara,44.837,11.619,15,3554.4761,2330.47,1668.6849,661.7849,5243.0361,2400.8877,1808.9087,591.9791,5599.2817,0.9809
2005-01-21,Ferrara,44.837,11.619,15,3596.3643,2333.0608,1657.0709,675.9898,5048.2505,2344.1548,1672.5088,671.646,5103.2642,0.9802
2005-01-22,Ferrara,44.837,11.619,15,3639.4836,2238.5212,1403.9854,834.5359,4178.6362,2291.8372,1476.2531,815.5842,4385.3364,0.9799
2005-01-23,Ferrara,44.837,11.619,15,3683.7969,1150.0002,120.429,1029.5712,469.1691,2524.9829,1956.8395,568.1433,5975.0557,0.9788
2005-01-24,Ferrara,44.837,11.619,15,3729.3394,2182.0442,1216.606,965.4382,3635.4089,2548.8364,1910.2001,638.6365,5741.8618,0.9778
2005-01-25,Ferrara,44.837,11.619,15,3776.0215,1911.416,660.3188,1251.0973,2234.7441,2654.385,2102.1523,552.2327,6342.4883,0.9719
2005-01-26,Ferrara,44.837,11.619,15,3823.8894,2091.2576,1155.1173,936.1401,3516.7383,2662.9956,2110.3027,552.6927,6305.0142,0.976
2005-01-27,Ferrara,44.837,11.619,15,3872.8789,1248.7583,48.2546,1200.5038,153.4546,2669.4761,2039.3688,630.1072,5974.7305,0.9753
2005-01-28,Ferrara,44.837,11.619,15,3922.9832,2189.7874,1098.8584,1090.9288,2865.688,2578.3564,1749.7581,828.5984,5018.0757,0.9747
