date,place,lat,lon,alt,TOA,GHI,BHI,DHI,BNI,clearsky_GHI,clearsky_BHI,clearsky_DHI,clearsky_BNI,reliability
2005-01-01,Oslo,59.9139,10.7523,21,659.3668,178.9424,62.4232,116.5191,539.1336,329.2556,177.1493,152.1062,1772.6899,0.9483
2005-01-02,Oslo,59.9139,10.7523,21,671.618,324.2601,128.9313,195.3288,1318.8789,337.4814,161.8256,175.6557,1593.7791,0.9424
2005-01-03,Oslo,59.9139,10.7523,21,684.9857,378.4892,228.6565,149.8327,2268.5261,378.4892,228.6565,149.8327,2268.5261,0.9469
2005-01-04,Oslo,59.9139,10.7523,21,699.4969,68.4003,0,68.4003,2e-4,312.6001,117.7662,194.8338,1139.05,0.9458
2005-01-05,Oslo,59.9139,10.7523,21,715.1321,355.3168,152.2804,203.0364,1423.2834,361.0032,167.0376,193.9656,1546.8019,0.9503
2005-01-06,Oslo,59.9139,10.7523,21,731.9402,373.0366,166.0062,207.0304,1519.2094,373.0366,166.0062,207.0304,1519.2094,0.9497
2005-01-07,Oslo,59.9139,10.7523,21,749.9149,361.5703,190.3582,171.2121,1751.2108,400.1318,259.8567,140.2751,2440.5693,0.9535
2005-01-08,Oslo,59.9139,10.7523,21,769.0717,65.1481,2e-4,65.148,0.0017,351.3987,120.4415,230.9572,1011.3196,0.9524
2005-01-09,Oslo,59.9139,10.7523,21,789.4242,401.747,197.1956,204.5513,1800.7961,421.5388,224.8268,196.7121,1999.5154,0.9514
2005-01-10,Oslo,59.9139,10.7523,21,811.0009,283.3089,62.7957,220.5132,490.2025,405.3901,195.6615,209.7286,1706.3093,0.9448
2005-01-11,Oslo,59.9139,10.7523,21,833.7786,296.96218,123.27118,173.691,1112.2841,429.0015,221.6172,207.3843,1894.6936,0
2005-01-12,Oslo,59.9139,10.7523,21,857.8047,281.747296,114.724176,167.02312,1030.89904,390.504,93.8532,296.6508,737.9963,0
2005-01-13,Oslo,59.9139,10.7523,21,883.0604,468.0923,241.6347,226.4576,2002.0387,468.0923,241.6347,226.4576,2002.0387,0.8892
2005-01-14,Oslo,59.9139,10.7523,21,909.5822,543.1022,364.9022,178.2,3055.2271,543.1022,364.9022,178.2,3055.2271,0.9556
2005-01-15,Oslo,59.9139,10.7523,21,937.3795,333.5527,13.4602,320.0925,92.406,468.3492,228.2899,240.0592,1798.2922,0.9542
2005-01-16,Oslo,59.9139,10.7523,21,966.4541,225.3078,21.6176,203.6902,152.0257,492.0994,247.9466,244.1528,1910.5912,0.9528
2005-01-17,Oslo,59.9139,10.7523,21,996.809,78.8227,0,78.8227,0,507.1012,244.0485,263.0527,1844.7275,0.9569
2005-01-18,Oslo,59.9139,10.7523,21,1028.4745,286.5654,21.0269,265.5385,132.3387,534.4135,288.4162,245.9972,2138.835,0.9448
2005-01-19,Oslo,59.9139,10.7523,21,1061.4425,445.7161,104.3053,341.4108,763.6956,517.8399,170.5309,347.309,1217.5421,0.959
2005-01-20,Oslo,59.9139,10.7523,21,1095.7473,320.6628,27.9684,292.6943,269.2966,593.7026,331.4726,262.23,2385.6743,0.9573
2005-01-21,Oslo,59.9139,10.7523,21,1131.3552,596.4122,279.3689,317.0432,2015.6315,634.7589,371.8904,262.8685,2622.9988,0.9559
2005-01-22,Oslo,59.9139,10.7523,21,1168.3168,711.066,478.7667,232.2993,3370.321,711.066,478.7667,232.2993,3370.321,0.9594
2005-01-23,Oslo,59.9139,10.7523,21,1206.5933,337.7556,56.8017,280.9538,499.2218,685.7108,363.6675,322.0433,2432.908,0.958
2005-01-24,Oslo,59.9139,10.7523,21,1246.2395,678.4792,402.0468,276.4324,2533.2947,752.1624,499.6181,252.5443,3360.9661,0.9615
2005-01-25,Oslo,59.9139,10.7523,21,1287.2283,633.2266,218.133,415.0936,1579.676,802.864,580.084,222.78,3897.3682,0.9597
2005-01-26,Oslo,59.9139,10.7523,21,1329.5554,371.1012,4.939,366.1622,28.4896,784.0373,500.1596,283.8777,3216.5471,0.9583
2005-01-27,Oslo,59.9139,10.7523,21,1373.2758,361.5854,62.6657,298.9197,523.3251,767.9442,418.8133,349.1308,2577.2913,0.9615
2005-01-28,Oslo,59.9139,10.7523,21,1418.3174,358.7255,9.0503,349.6752,53.3569,835.4791,539.3003,296.1788,3305.4102,0.9601
2005-01-29,Oslo,59.9139,10.7523,21,1464.745,234.074,0.2163,233.8577,1.5192,815.4885,477.6375,337.8509,2838.2686,0.9635
2005-01-30,Oslo,59.9139,10.7523,21,1512.5249,140.0636,2e-4,140.0634,0.0025,884.793,559.921,324.8719,3326.0171,0.9618
