date,place,lat,lon,alt,TOA,GHI,BHI,DHI,BNI,clearsky_GHI,clearsky_BHI,clearsky_DHI,clearsky_BNI,reliability
2005-01-01,Ravenna,44.42,12.207,3,3077.2605,2070.1218,1596.8833,473.2385,5413.1411,2095.3943,1647.2004,448.1938,5707.7476,0.9747
2005-01-02,Ravenna,44.42,12.207,3,3093.845,2003.5516,1415.7252,587.8264,4487.4683000000005,2081.8269,1574.4919,507.3348,5377.6865,0.9691
2005-01-03,Ravenna,44.42,12.207,3,3111.8274,2028.7837,1439.5884,589.1954,4858.7192,2066.1479,1497.7854,568.3624,5046.001,0.974
2005-01-04,Ravenna,44.42,12.207,3,3131.2354,2016.5548,1425.3514,591.2033,4918.1655,2135.0818,1652.8513,482.2303,5644.1182,0.9785
2005-01-05,Ravenna,44.42,12.207,3,3152.0073,2035.4099,1411.5627,623.8472,4830.3511,2132.4231,1605.5004,526.9226,5409.0386,0.9785
2005-01-06,Ravenna,44.42,12.207,3,3174.1641,1907.7164,1179.3927,728.3237,3754.3833,2029.7762,1375.8477,653.9285,4519.0254,0.9778
2005-01-07,Ravenna,44.42,12.207,3,3197.698,923.2417,25.5796,897.6622,71.3707,1936.1202,1145.8712,790.249,3683.5608,0.9774
2005-01-08,Ravenna,44.42,12.207,3,3222.6008,1004.363,29.0188,975.3443,82.3958,2144.2908,1550.2272,594.0636,5104.416,0.9771
2005-01-09,Ravenna,44.42,12.207,3,3248.9255,960.024,30.78,929.244,99.3994,2074.2534,1392.7527,681.5009,4514.4697,0.976
2005-01-10,Ravenna,44.42,12.207,3,3276.5642,1859.1677,1041.7611,817.4067,3148.3589,1943.7549,1088.2411,855.5137,3421.3674,0.9288
2005-01-11,Ravenna,44.42,12.207,3,3305.5432,1330.90256,461.30644,869.59618,1431.18162,2104.7876,1377.1324,727.6551,4391.3091,0
2005-01-12,Ravenna,44.42,12.207,3,3335.886,1215.539792,317.689188,897.850676,966.541284,2049.1042,1246.0645,803.0397,3910.6655,0
2005-01-13,Ravenna,44.42,12.207,3,3367.533,1124.7756,167.2499,957.5258,560.9017,2065.8745,1230.6401,835.2344,3849.3713,0.8701
2005-01-14,Ravenna,44.42,12.207,3,3400.5134,750.5203,5.2206,745.2997,13.1492,2143.7278,1377.0435,766.6844,4306.7593,0.9788
2005-01-15,Ravenna,44.42,12.207,3,3434.825,499.0478,16.0442,483.0036,176.2844,2304.3137,1672.2279,632.0859,5287.1592,0.9781
2005-01-16,Ravenna,44.42,12.207,3,3470.4172,811.6379,8.4987,803.1392,29.0124,2377.9768,1812.8165,565.16010000000006,5750.1235,0.9774
2005-01-17,Ravenna,44.42,12.207,3,3507.2634,2173.186,1426.6836,746.5023,4732.9629,2455.3552,1911.7352,543.6201,6043.4043,0.9771
2005-01-18,Ravenna,44.42,12.207,3,3545.4399,1002.1802,54.535,947.6451,157.9438,2302.8293,1572.8054,730.024,4796.9126,0.9656
2005-01-19,Ravenna,44.42,12.207,3,3584.8433,848.3586,123.3403,725.0182,461.3244,2313.9595,1581.1465,732.8129,4815.0532,0.9753
2005-01-20,Ravenna,44.42,12.207,3,3625.4604,2447.5857,1847.7484,599.8373,5607.418,2511.0586,1973.5851,537.4734,6098.6729,0.975
2005-01-21,Ravenna,44.42,12.207,3,3667.3655,2476.645,1914.6271,562.0179,5866.8433000000005,2493.988,1940.7352,553.2529,5933.416,0.9792
2005-01-22,Ravenna,44.42,12.207,3,3710.4607,1788.3094,818.114,970.1955,2761.8506,2467.2847,1770.4797,696.8048,5303.3096,0.9785
2005-01-23,Ravenna,44.42,12.207,3,3754.7458,1101.4031,57.537,1043.8661,338.879,2653.75,2156.3716,497.3785,6571.0278,0.9781
2005-01-24,Ravenna,44.42,12.207,3,3800.2463,1560.6165,481.1813,1079.4351,1802.6119,2568.3025,1887.5723,680.7304,5571.9307,0.9767
2005-01-25,Ravenna,44.42,12.207,3,3846.8594,861.2354,20.6276,840.6078,58.528,2659.2781,2031.4557,627.8223,6005.2793,0.9712
2005-01-26,Ravenna,44.42,12.207,3,3894.6501,1187.3197,190.4332,996.8865,455.9496,2700.3374,2111.7158,588.6216,6203.9995,0.9757
2005-01-27,Ravenna,44.42,12.207,3,3943.6169,1978.9822,736.8283,1242.1538,2356.8528,2718.9722,2063.7026,655.2695,5962.2686,0.9799
2005-01-28,Ravenna,44.42,12.207,3,3993.6653,1414.234,223.5334,1190.7006,602.9034,2610.3413,1749.2419,861.0994,4914.1309,0.9792
2005-01-29,Ravenna,44.42,12.207,3,4044.8418,1083.9526,58.9464,1025.0062,270.3918,2783.5818,2072.0776,711.5042,5880.9556,0.9781
2005-01-30,Ravenna,44.42,12.207,3,4097.1104,1760.712,307.4252,1453.2869,833.2219,2951.8745,2353.696,598.1785,6715.9917,0.9771
