date,place,lat,lon,alt,TOA,GHI,BHI,DHI,BNI,clearsky_GHI,clearsky_BHI,clearsky_DHI,clearsky_BNI,reliability
2005-01-01,Reggio Emilia,44.697,10.629,63,3030.3418,2107.4514,1700.5468,406.9047,6016.0479,2125.05,1729.9924,395.0576,6118.4878,0.975
2005-01-02,Reggio Emilia,44.697,10.629,63,3046.9119,1981.9377,1382.1296,599.8082,4686.8428,1989.7244,1397.5336,592.1907,4769.145,0.9694
2005-01-03,Reggio Emilia,44.697,10.629,63,3064.8528,1976.313,1346.7994,629.5136,4597.9839,1983.4384,1355.9487,627.4897,4626.875,0.9747
2005-01-04,Reggio Emilia,44.697,10.629,63,3084.2173,2020.4532,1444.25,576.2032,5125.8096,2107.2058,1628.123,479.0827,5616.6084,0.9795
2005-01-05,Reggio Emilia,44.697,10.629,63,3104.9727,1876.7378,1107.4871,769.2507,3826.4634,2053.9424,1459.2449,594.6974,4928.5171,0.9792
2005-01-06,Reggio Emilia,44.697,10.629,63,3127.144,1957.1445,1249.2994,707.845,4080.2585,1961.3518,1255.6995,705.6523,4130.5015,0.9785
2005-01-07,Reggio Emilia,44.697,10.629,63,3150.7046,1814.4651,999.7358,814.7293,3247.5034,1925.5115,1148.1743,777.3371,3748.9504,0.9778
2005-01-08,Reggio Emilia,44.697,10.629,63,3175.6057,1669.1689,787.8351,881.3339,2586.7031,2015.535,1308.8986,706.6365,4275.1602,0.9774
2005-01-09,Reggio Emilia,44.697,10.629,63,3201.8674,1347.8629,269.9432,1077.9197,948.0909,1977.7661,1208.52,769.2461,3929.5447,0.9771
2005-01-10,Reggio Emilia,44.697,10.629,63,3229.5139,1063.7357,155.0078,908.7279,511.008,1964.9708,1159.6433,805.3275,3711.2402,0.9299
2005-01-11,Reggio Emilia,44.697,10.629,63,3258.4875,1570.47542,692.3642600000001,878.1111599999999,2274.71278,2091.0608,1388.5829,702.4778,4490.5771,0
2005-01-12,Reggio Emilia,44.697,10.629,63,3288.7888,1493.141604,580.9772320000001,912.1643919999999,1913.603636,2083.4822,1339.5684,743.9139,4290.2231,0
2005-01-13,Reggio Emilia,44.697,10.629,63,3320.4934,2024.5588,1184.7194,839.8395,3728.2117,2027.8545,1185.7434,842.1111,3734.3313,0.8705
